review_id,pc1,pc2,cluster,archetype,k,robustness_score,frac_significant,frac_reversed,pi_ci_ratio,I2,tau2,orb_score,excess_significance,entropy_nei,n_modes,skewness,kurtosis,volatility,n_flips,stabilizes,n_pathologies,correction_pct,pct_sampling,pct_heterogeneity,pct_bias,adversarial_gap,split_verdict,cov_conformal,cov_standard,width_ratio
CD007079,1.0425,-0.2374,3,Pathological,10.0,7.65,0.0765,0.0,2.54,55.9,0.0426,35.0,0.58,0.167,3.0,-3.337,14.591,5.36,0.0,0.0,3.0,39.7,12.7,46.5,34.6,0.0,1.0,0.7,0.6,1.418
CD007130,1.2898,0.8932,1,Moderate,26.0,58.32,0.1205,0.0,3.23,47.5,0.0035,30.0,0.76,0.1535,4.0,3.276,17.854,4.35,2.0,0.0,3.0,89.2,6.9,58.4,23.8,0.0036,1.0,0.923,0.654,2.689
CD007310,-3.7497,-1.0172,2,Healthy,7.0,95.83,0.0,0.0,1.31,0.0,0.0,0.0,-0.3,0.0296,1.0,1.082,0.26,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.7611,0.0,0.857,1.0,0.64
CD007374,-3.409,-1.3537,2,Healthy,6.0,95.24,0.0476,0.0,1.42,0.0,0.0,0.0,-0.23,0.0697,1.0,0.691,0.244,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7776,1.0,0.833,1.0,0.789
CD007491,-0.3628,-1.9638,3,Pathological,8.0,83.95,0.0282,0.0,2.45,41.2,0.0507,20.0,0.69,0.1864,2.0,-1.213,1.524,0.0,0.0,0.0,0.0,0.0,25.4,72.2,0.0,0.0,1.0,1.0,0.875,1.334
CD007569,-1.8371,-1.2779,3,Pathological,6.0,79.37,0.1111,0.0,1.9,11.9,0.0031,10.0,-0.54,0.1404,2.0,0.806,-0.711,0.0,0.0,0.0,0.0,0.0,54.7,44.1,0.0,0.1388,1.0,1.0,0.833,2.039
CD007572,1.5062,-0.4567,1,Moderate,10.0,66.67,0.6667,0.0,3.04,64.5,0.0075,15.0,0.2,0.2951,2.0,-2.242,7.064,14.29,1.0,1.0,2.0,49.6,4.1,23.0,72.4,0.1952,1.0,0.9,0.8,1.314
CD007639,0.7905,-2.9511,3,Pathological,5.0,34.92,0.0106,0.0106,3.3,69.4,0.1657,30.0,1.84,0.3023,2.0,-0.848,-0.9,0.0,0.0,0.0,0.0,0.0,23.8,74.5,0.0,0.3338,0.0,1.0,1.0,0.635
CD007674,4.5315,0.4767,1,Moderate,28.0,55.17,0.5517,0.0,4.61,78.7,0.2472,80.0,4.36,0.2382,2.0,0.223,1.175,12.0,7.0,1.0,3.0,34.8,3.8,69.7,24.4,0.1285,1.0,0.893,0.75,1.498
CD007784,0.7997,1.1911,1,Moderate,13.0,100.0,1.0,0.0,2.39,38.9,0.0072,50.0,3.49,0.1326,4.0,-3.529,19.744,0.0,0.0,1.0,2.0,10.6,13.4,47.3,32.6,0.0777,0.0,0.769,0.538,2.195
CD007896,-1.7997,2.61,2,Healthy,35.0,67.59,0.6759,0.0,1.04,0.0,0.0,0.0,0.77,0.0898,2.0,0.735,1.15,3.12,2.0,1.0,1.0,8.7,40.8,0.0,59.2,0.4647,1.0,1.0,0.286,10.23
CD008063,1.4249,1.8736,1,Moderate,50.0,66.67,0.6667,0.0,4.14,35.2,0.0129,10.0,-0.57,0.1314,3.0,1.874,7.2,2.66,4.0,1.0,2.0,57.6,1.5,22.8,75.5,0.2237,1.0,0.92,0.7,2.383
CD008145,3.6043,-0.4122,1,Moderate,6.0,48.53,0.4853,0.0,3.39,89.4,0.0359,65.0,1.03,0.4018,3.0,3.201,11.369,20.83,3.0,1.0,3.0,65.4,4.6,21.8,62.8,0.2117,1.0,1.0,1.0,0.803
CD008165,3.3377,-1.455,1,Moderate,13.0,25.62,0.2562,0.0,3.53,83.6,0.0785,65.0,1.34,0.2873,2.0,-1.986,8.036,22.5,6.0,0.0,2.0,10.8,9.8,86.9,0.0,0.0114,1.0,1.0,0.846,2.3
CD008176,-3.1407,2.8768,2,Healthy,38.0,65.81,0.0,0.0,1.03,0.0,0.0,20.0,-1.14,0.0746,4.0,-1.021,10.337,0.0,0.0,0.0,2.0,47.8,72.7,0.0,27.3,0.148,0.0,1.0,0.211,16.646
CD008237,1.4353,-0.0866,1,Moderate,6.0,62.59,0.6259,0.0,2.71,53.2,0.0644,50.0,1.52,0.1413,3.0,3.329,11.339,12.5,1.0,1.0,1.0,22.1,17.2,45.9,30.3,0.084,1.0,1.0,1.0,1.398
CD008349,5.8026,1.2488,1,Moderate,68.0,47.85,0.4785,0.0,6.63,68.4,0.2229,65.0,8.08,0.1528,2.0,-1.154,42.423,11.15,12.0,1.0,3.0,62.1,1.7,71.7,25.3,0.1526,1.0,0.971,0.882,1.546
CD008469,-3.9842,-0.7197,2,Healthy,11.0,69.44,0.0,0.0,1.15,0.0,0.0,0.0,-0.28,0.1255,1.0,0.415,-0.342,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.3004,0.0,1.0,0.455,2.896
CD008493,0.9915,-0.5002,3,Pathological,10.0,65.37,0.013,0.0,2.67,53.4,0.0299,50.0,1.03,0.1817,4.0,-2.693,18.917,21.43,2.0,0.0,1.0,20.7,18.5,76.6,4.5,0.0,1.0,0.6,0.5,1.225
CD008552,0.8363,-1.6042,3,Pathological,5.0,69.58,0.3042,0.0,3.1,63.6,0.2673,25.0,0.47,0.2449,1.0,-1.216,1.085,0.0,0.0,0.0,2.0,114.8,14.5,38.2,43.1,0.35,1.0,1.0,1.0,1.631
CD008564,-2.9416,0.0207,2,Healthy,12.0,59.71,0.4029,0.0,1.19,0.7,0.0007,0.0,0.35,0.1135,1.0,0.447,-0.651,0.0,0.0,0.0,1.0,0.0,91.8,8.2,0.0,0.2254,1.0,0.917,0.417,3.221
CD008628,-3.9484,-0.7438,2,Healthy,9.0,70.0,0.0,0.0,1.21,0.0,0.0,0.0,-0.43,0.1456,1.0,0.732,2.99,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.248,0.0,0.889,0.444,2.684
CD008709,-2.2088,2.0745,2,Healthy,31.0,62.15,0.6215,0.0,1.04,0.0,0.0,0.0,-1.77,0.0934,2.0,0.877,1.01,14.29,7.0,1.0,1.0,0.0,100.0,0.0,0.0,0.1132,1.0,0.968,0.258,6.846
CD008858,3.287,1.216,1,Moderate,63.0,100.0,1.0,0.0,6.13,96.3,0.3548,50.0,-2.91,0.1496,3.0,0.974,0.008,2.08,2.0,1.0,3.0,31.7,2.0,70.3,16.6,0.115,0.0,0.889,0.81,1.384
CD008879,-1.2161,0.4822,2,Healthy,8.0,24.34,0.2434,0.0,1.25,0.0,0.0,10.0,0.19,0.1671,2.0,2.396,14.763,10.0,1.0,0.0,2.0,38.0,30.9,0.0,69.1,0.0246,1.0,0.875,0.625,2.51
CD009022,-2.4943,0.1526,2,Healthy,9.0,57.78,0.5778,0.0,1.21,0.0,0.0,0.0,-0.32,0.086,2.0,1.398,3.056,16.67,2.0,1.0,0.0,0.0,100.0,0.0,0.0,0.1727,1.0,1.0,0.667,2.56
CD009102,1.1722,-0.9684,3,Pathological,5.0,77.78,0.1667,0.0,2.92,57.1,0.1144,35.0,-0.41,0.3176,3.0,-3.043,27.197,18.75,1.0,0.0,3.0,4.5,30.6,68.4,0.6,0.0419,1.0,0.6,0.6,1.081
CD009235,-3.4815,1.4725,2,Healthy,31.0,66.67,0.0,0.0,1.04,0.0,0.0,20.0,-1.09,0.1055,4.0,-0.264,8.49,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0861,0.0,0.71,0.194,6.333
